"PVWatts: Hourly PV Performance Data"
"Requested Location:","sau paolo"
"Location:","SAO PAULO/CONGONHAS, BRAZIL"
"Lat (deg S):","23.62"
"Long (deg W):","46.65"
"Elev (m):","803"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","15","15","282","245","23","6.7","312.301","27.544","253.602","242.38"
"4","15","16","137","118","23","6.7","130.703","24.508","105.161","97.515"
"4","15","17","15","29","22.3","3.1","26.992","21.75","23.393","17.397"
"4","15","18","0","0","22","0","0","22","0","0"
"4","15","19","0","0","22","2.1","0","22","0","0"
"4","15","20","0","0","21.3","0","0","21.3","0","0"
"4","15","21","0","0","21","0","0","21","0","0"
"4","15","22","0","0","21","0","0","21","0","0"
"4","15","23","0","0","21.8","1.5","0","21.8","0","0"
"4","16","0","0","0","22","0","0","22","0","0"
"4","16","1","0","0","22","0","0","22","0","0"
"4","16","2","0","0","21.3","0","0","21.3","0","0"
"4","16","3","0","0","21","0","0","21","0","0"
"4","16","4","0","0","21","1.5","0","21","0","0"
"4","16","5","0","0","20.4","0","0","20.4","0","0"
"4","16","6","5","10","20","0","9.549","17.101","8.517","2.797"
"4","16","7","233","72","21","0","95.124","22.066","70.442","63.525"
"4","16","8","71","159","22.2","1.5","167.362","25.561","140.272","131.848"
"4","16","9","461","169","24","0","350.596","37.005","271.235","259.537"
"4","16","10","334","279","25","2.6","425.199","34.898","342.212","328.496"
"4","16","11","363","286","25.5","3.1","461.168","35.852","371.011","356.427"
"4","16","12","545","316","27","3.1","596.058","40.485","467.638","449.936"
"4","16","13","657","239","28","2.6","568.482","41.925","438.589","421.857"
"4","16","14","399","223","28.2","2.1","379.854","38.264","295.891","283.512"
"4","16","15","246","294","28","4.1","339.69","34.786","268.641","257.014"
"4","16","16","70","117","21","6.2","118.346","22.383","99.16","91.643"
"4","16","17","55","20","20","0","17.835","18.749","15.292","9.447"
"4","16","18","0","0","20","0","0","20","0","0"
"4","16","19","0","0","20","0","0","20","0","0"
"4","16","20","0","0","20","0","0","20","0","0"
"4","16","21","0","0","21","0","0","21","0","0"
"4","16","22","0","0","21","0","0","21","0","0"
"4","16","23","0","0","21","0","0","21","0","0"
"4","17","0","0","0","21","0","0","21","0","0"
"4","17","1","0","0","20","0","0","20","0","0"
"4","17","2","0","0","19.6","0","0","19.6","0","0"
"4","17","3","0","0","19.3","0","0","19.3","0","0"
"4","17","4","0","0","19","0","0","19","0","0"
"4","17","5","0","0","19.5","0","0","19.5","0","0"
"4","17","6","205","9","19","0","6.514","15.765","5.845","0.174"
"4","17","7","501","54","22","1.5","113.523","23.426","71.844","64.899"
"4","17","8","694","81","24","2.1","279.326","30.081","202.807","192.893"
"4","17","9","580","175","25","3.1","404.979","33.72","316.768","303.795"
"4","17","10","735","126","26","6.2","500.358","34.137","397.275","381.875"
"4","17","11","693","178","27.2","5.1","556.336","37.578","439.751","422.98"
"4","17","12","692","149","28","2.1","536.372","41.947","414.62","398.667"
"4","17","13","577","270","29","2.1","548.613","43.184","421.273","405.106"
"4","17","14","343","152","29","4.1","290.074","35.079","228.356","217.795"
"4","17","15","700","127","29","2.6","341.039","36.736","248.373","237.289"
"4","17","16","429","46","29","3.1","111.506","31.13","70.414","63.498"
"4","17","17","199","24","27","2.1","20.018","26.314","17.109","11.231"
"4","17","18","0","0","26","0","0","26","0","0"
"4","17","19","0","0","26","0","0","26","0","0"
"4","17","20","0","0","25.1","0","0","25.1","0","0"
"4","17","21","0","0","25","0","0","25","0","0"
"4","17","22","0","0","25","0","0","25","0","0"
"4","17","23","0","0","23","0","0","23","0","0"
"4","18","0","0","0","22","0","0","22","0","0"
"4","18","1","0","0","21","0","0","21","0","0"
"4","18","2","0","0","20.4","0","0","20.4","0","0"
"4","18","3","0","0","20","0","0","20","0","0"
"4","18","4","0","0","20","0","0","20","0","0"
"4","18","5","0","0","19.8","0","0","19.8","0","0"
"4","18","6","49","16","22","0","13.6","19.358","12.006","6.222"
"4","18","7","122","81","23","0","89.086","23.945","70.604","63.684"
"4","18","8","59","205","25.5","2.6","202.075","29.262","167.575","158.517"
"4","18","9","398","178","27","5.1","327.015","32.52","259.201","247.829"
"4","18","10","413","251","27","6.2","435.467","33.942","350.401","336.441"
"4","18","11","398","414","26.8","5.1","589.101","37.696","470.268","452.476"
"4","18","12","205","283","24","5.1","368.247","30.87","304.768","292.138"
"4","18","13","272","352","23","3.1","454.428","33.066","370.804","356.226"
"4","18","14","163","196","21.4","5.1","248.313","25.707","208.125","198.078"
"4","18","15","168","188","23","5.1","223.515","26.526","183.495","174.055"
"4","18","16","55","147","23","3.1","138.962","25.36","116.318","108.43"
"4","18","17","22","28","22.6","1.5","25.781","21.996","22.485","16.506"
"4","18","18","0","0","22","2.6","0","22","0","0"
"4","18","19","0","0","22","0","0","22","0","0"
"4","18","20","0","0","22.4","2.6","0","22.4","0","0"
"4","18","21","0","0","20","0","0","20","0","0"
"4","18","22","0","0","20","2.6","0","20","0","0"
"4","18","23","0","0","20","0","0","20","0","0"
"4","19","0","0","0","19","0","0","19","0","0"
"4","19","1","0","0","19","0","0","19","0","0"
"4","19","2","0","0","19.4","0","0","19.4","0","0"
